Aluminum	97-98%
AmeobicCysts	99%
Ammonium	85-95%
Arsenic	94-96%
Asbestos	99%
Bacteria	99+%
Barium	90-98%
Bicarbonate	95-96%
Boron	50-70%
Bromide	93-96%
Cadmium	96-98%
Calcium	96-98%
Chloramine	94-95%
Chloride	94-95%
Chromate	90-98%
Chromium	96-98%
Copper	97-99%
Cryptosporidium	99%
Cyanide	90-95%
Detergents	97%
Ferrocyanide	98-99%
Fluoride	94-96%
Giardia	99%
Hardness	93-97%
Herbicides	97%
Hydrocarbons	90+%
Insecticides	97%
Iron	98-99%
Lead	96-98%
Magnesium	96-98%
Manganese	96-98%
Mercury	96-98%
Nickel	97-99%
Nitrate	93-96%
PCBs	97%
Pesticides	90+%
Phosphate	99+%
Polyphosphate	98-99%
Potassium	92-97%
Proteins	90+%
Protozoa	99%
Pyrogen	99+%
Radioactivity	95-98%
Radium	97%
Sediment	99%
Selenium	97%
Silica	85-90%
Silicate	95-97%
Silver	95-97%
Sodium	92-98%
Strontium	90-95%
Sulfur	97-98%
Tannin	95-99%
TDS	95-99%
THMs	90+%
Trichlorethylene	90+%
Uranium	97%
Virus	99+%
Zinc	98-99%